what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1336793005096
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1336793005103
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1336793005123
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1336793005238
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1336793005305
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1336793005619
started,bundle,com.aptana.index.core.ui,3.0.0.1311981533,"com.aptana.index.core.ui",1336793010146
started,bundle,com.aptana.workbench,3.0.0.1312303461,"com.aptana.workbench",1336793015947
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1336793022204
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1336793022207
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1336793022210
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1336793022262
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1336793022439
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1336793022718
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1336793022764
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1336793022772
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1336793022863
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1336793022863
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1336793024520
started,bundle,com.aptana.index.core,3.0.0.1316797991,"com.aptana.index.core",1336793028778
started,bundle,com.aptana.editor.common,3.0.3.1319164560,"com.aptana.editor.common",1336793028782
started,bundle,com.aptana.editor.xml,3.0.0.1319152794,"com.aptana.editor.xml",1336793028793
started,bundle,com.aptana.editor.epl,3.0.0.1308864549,"com.aptana.editor.epl",1336793028837
started,bundle,com.aptana.editor.findbar,3.0.0.1310755723,"com.aptana.editor.findbar",1336793028888
started,bundle,com.aptana.editor.dtd,3.0.0.1311639141,"com.aptana.editor.dtd",1336793029038
started,bundle,com.aptana.parsing,3.0.0.1311976829,"com.aptana.parsing",1336793029148
started,bundle,com.aptana.ui.epl,3.0.0.1319164560,"com.aptana.ui.epl",1336793029293
started,bundle,com.aptana.formatter.epl,3.0.0.1314045086,"com.aptana.formatter.epl",1336793029373
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1336793029687
opened,editor,com.aptana.editor.xml,3.0.0.1319152794,"com.aptana.editor.xml",1336793029895
started,bundle,com.aptana.preview,3.0.0.1309394487,"com.aptana.preview",1336793029923
started,bundle,com.aptana.ruby.debug.ui,3.0.2.1311188101,"com.aptana.ruby.debug.ui",1336793030014
activated,editor,com.aptana.editor.xml,3.0.0.1319152794,"com.aptana.editor.xml",1336793030030
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1336793030073
started,bundle,beaver,3.0.0.1309394487,"beaver",1336793030241
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1336793030400
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1336793031381
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1336793031401
